行業別,上月底現有家數,上月底現有資本額,新設立家數,新設立資本額,歇業家數,歇業資本額,增資家數,增資資本額,減資家數,減資資本額,遷入家數,遷入資本額,遷出家數,遷出資本額,行業變動家數,行業變動資本額,異動調整家數,異動調整資本額,本月底現有家數,本月底現有資本額,year,month
運輸及倉儲業,25874,6012282,24,4421,38,3510,2,8500,0,0,1,200,0,0,1,100,-9,90,25853,6022083,2026,1
住宿及餐飲業,108478,14671326,841,101419,719,113553,40,32489,3,858,14,2515,13,2415,-1,28,-3,-285,108597,14690666,2026,1
出版影音及資通訊業,7078,1855933,74,9843,45,10853,4,2200,1,500,1,50,1,50,1,9694,1,240,7109,1866556,2026,1
金融及保險業,3311,4747145,9,2413,22,2680,0,0,1,100,5,849,5,849,-2,-153,13,582,3309,4747207,2026,1
不動產業,4486,1123995,30,9300,15,5228,0,0,0,0,0,0,0,0,2,440,0,0,4503,1128507,2026,1
專業、科學及技術服務業,21257,4649600,188,27449,97,24623,11,8275,1,150,14,3115,12,1810,6,745,-1,-3,21355,4662597,2026,1
支援服務業,30616,7531289,192,33096,138,24312,13,9225,2,220,1,200,1,200,2,850,-2,-180,30670,7549748,2026,1
公共行政及國防；強制性社會安全,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-3,1,3,0,0,2026,1
教育業,2809,404287,62,7736,15,6600,1,1500,0,0,0,0,0,0,1,100,1,200,2858,407223,2026,1
醫療保健及社會服務業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026,1
藝術、娛樂及休閒服務業,25606,3422416,138,17029,111,15964,6,5477,0,0,0,0,0,0,-6,-1110,-1,4846,25626,3432694,2026,1
其他服務業,74543,7271538,389,44287,208,19492,18,11440,6,5190,8,1010,8,1010,2,290,-2,-63,74724,7302809,2026,1
總計,997840,206776451,4949,741136,4737,1003189,412,506018,29,20640,234,66438,233,63216,0,0,4,1184,998057,207004181,2025,12
農、林、漁、牧業,12130,3925397,74,10228,31,12256,8,7948,1,5000,7,3040,7,3040,2,299,0,0,12175,3926616,2025,12
礦業及土石採取業,2005,1174146,14,2783,11,7660,2,5600,0,0,0,0,0,0,-1,-200,1,200,2008,1174869,2025,12
製造業,55093,15472552,152,27352,186,35121,18,27217,0,0,7,1446,7,1205,9,9345,-5,-76,55063,15501510,2025,12
電力及燃氣供應業,1045,562013,5,736,5,2000,1,1760,1,150,0,0,0,0,0,0,0,0,1045,562359,2025,12
用水供應及污染整治業,4060,1939796,21,8303,24,5751,8,31535,0,0,2,448,1,248,4,1039,-1,-200,4061,1974922,2025,12
營建工程業,103857,45670766,671,149043,462,263944,81,135788,2,3025,40,16560,39,16360,-7,-3725,8,941,104068,45686043,2025,12
批發及零售業,516106,86444904,1958,284622,2485,438606,178,205122,16,5212,122,27911,122,27667,-4,-4877,4,1855,515579,86488052,2025,12
運輸及倉儲業,25867,6010460,35,5675,29,5063,1,800,0,0,0,0,0,0,2,440,-1,-30,25874,6012282,2025,12
住宿及餐飲業,108338,14629370,930,117805,783,102265,43,33689,6,843,18,2425,20,2827,-5,-5267,0,-761,108478,14671326,2025,12
出版影音及資通訊業,7080,1846391,49,6624,51,9362,7,9527,0,0,4,3240,4,440,0,-47,0,0,7078,1855933,2025,12
金融及保險業,3310,4747117,12,2307,13,2509,0,0,0,0,0,0,0,0,1,200,1,30,3311,4747145,2025,12
不動產業,4494,1127627,24,3858,30,6280,1,190,1,200,1,200,1,200,-2,-1200,0,0,4486,1123995,2025,12
專業、科學及技術服務業,21218,4647811,167,20892,129,22827,12,7538,1,4000,12,3269,11,3119,1,236,-1,-200,21257,4649600,2025,12
支援服務業,30545,7521774,210,31123,141,43991,20,21508,0,0,8,5700,10,6100,5,1405,-1,-130,30616,7531289,2025,12
公共行政及國防；強制性社會安全,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,12
