行業別,上月底現有家數,上月底現有資本額,新設立家數,新設立資本額,歇業家數,歇業資本額,增資家數,增資資本額,減資家數,減資資本額,遷入家數,遷入資本額,遷出家數,遷出資本額,行業變動家數,行業變動資本額,異動調整家數,異動調整資本額,本月底現有家數,本月底現有資本額,year,month
總計,979823,198743396,5597,884257,4073,711884,356,423076,29,14074,236,79445,233,76160,0,0,-32,-4289,981318,199323768,2024,7
農、林、漁、牧業,11494,3704310,72,12596,42,14677,6,4990,0,0,2,340,2,120,12,3641,-1,-70,11535,3711010,2024,7
礦業及土石採取業,1939,1149679,11,3858,3,670,1,800,0,0,2,5200,2,5200,0,0,0,0,1947,1153667,2024,7
製造業,55231,15083707,149,23697,156,30163,16,21538,0,0,6,5900,8,6050,5,2508,-4,-74,55223,15101063,2024,7
電力及燃氣供應業,947,519769,10,2078,2,300,1,2000,0,0,0,0,0,0,0,0,0,0,955,523547,2024,7
用水供應及污染整治業,3996,1796221,19,3368,15,10069,4,14000,0,0,0,0,0,0,0,-168,0,-142,4000,1803210,2024,7
營建工程業,97348,43137388,764,161574,330,118075,64,103155,13,2360,45,14954,43,13074,2,11114,2,662,97788,43295338,2024,7
批發及零售業,514856,83998446,2292,350291,2036,334243,166,197066,9,10361,120,39369,118,38359,-4,-14706,-15,-3860,515095,84183644,2024,7
運輸及倉儲業,25897,5868064,25,6139,16,1878,2,1590,0,0,0,0,0,0,0,140,-2,-60,25904,5873995,2024,7
住宿及餐飲業,104478,13863654,1081,148106,800,114136,42,34751,2,290,23,2955,23,3100,-5,-655,-4,-415,104750,13930870,2024,7
出版影音及資通訊業,6782,1819127,55,9074,34,5124,4,3400,0,0,6,2050,6,2050,0,0,0,0,6803,1826477,2024,7
金融及保險業,3153,4714782,9,1450,12,2790,0,0,0,0,1,200,1,200,0,0,-3,-1560,3147,4711882,2024,7
不動產業,4474,1125091,53,10391,23,4007,1,970,0,0,1,168,2,178,-1,-20,0,0,4502,1132415,2024,7
專業、科學及技術服務業,20551,4451375,163,25948,111,15473,14,11201,0,0,5,1040,6,1620,-3,-715,1,1940,20600,4473697,2024,7
支援服務業,29413,7101857,195,29998,117,23527,13,17074,1,900,8,2780,7,2770,-4,-889,-3,-500,29485,7123123,2024,7
公共行政及國防；強制性社會安全,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,7
教育業,2234,322333,44,5326,11,1730,1,2400,1,16,3,300,4,500,1,50,0,0,2267,328163,2024,7
醫療保健及社會服務業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,7
藝術、娛樂及休閒服務業,25683,3337560,218,35176,161,14747,7,4410,2,47,5,1850,3,1600,-4,-520,-3,-400,25735,3361682,2024,7
其他服務業,71347,6750032,437,55187,204,20276,14,3731,1,100,9,2339,8,1339,1,220,0,190,71582,6789984,2024,7
總計,978650,198205415,5207,806644,4043,709415,342,430208,16,3692,253,65228,252,57921,0,0,8,6929,979823,198743396,2024,6
農、林、漁、牧業,11461,3694178,60,8447,48,9935,6,8164,0,0,2,300,2,103,20,2459,1,800,11494,3704310,2024,6
礦業及土石採取業,1934,1141837,10,2920,4,678,2,5700,0,0,0,0,0,0,-1,-100,0,0,1939,1149679,2024,6
製造業,55257,15071188,146,24852,174,51382,26,38897,0,0,6,983,6,983,5,436,-3,-284,55231,15083707,2024,6
電力及燃氣供應業,940,517349,10,1870,4,650,1,1000,0,0,0,0,0,0,1,200,0,0,947,519769,2024,6
用水供應及污染整治業,3991,1777111,16,4110,9,1370,4,16770,0,0,0,0,0,0,-3,-600,1,200,3996,1796221,2024,6
營建工程業,96927,42972057,721,154161,307,111502,67,109930,0,0,46,19592,45,14402,1,6344,5,1208,97348,43137388,2024,6
批發及零售業,514763,83821081,2163,328333,2051,320394,149,172878,5,1875,143,34678,141,32658,-23,-7663,2,4066,514856,83998446,2024,6
運輸及倉儲業,25905,5874604,25,4733,31,11362,0,0,0,0,1,30,1,30,1,200,-3,-111,25897,5868064,2024,6
住宿及餐飲業,104189,13799990,1034,138733,740,98597,31,24423,7,687,17,2775,17,2775,-6,-550,1,341,104478,13863654,2024,6
出版影音及資通訊業,6771,1810486,33,4326,24,4196,4,8300,0,0,1,200,2,250,1,30,2,230,6782,1819127,2024,6
金融及保險業,3159,4716248,6,810,15,2346,0,0,0,0,0,0,0,0,-1,-50,4,120,3153,4714782,2024,6
不動產業,4461,1124293,43,8077,30,7329,1,90,1,40,1,200,1,200,0,0,0,0,4474,1125091,2024,6
專業、科學及技術服務業,20515,4441557,134,18541,102,22626,11,13394,0,0,14,1870,15,2070,6,710,-1,0,20551,4451375,2024,6
支援服務業,29335,7074862,199,35938,116,22553,13,15170,1,180,11,3150,11,3150,-2,-935,-3,-445,29413,7101857,2024,6
公共行政及國防；強制性社會安全,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-48,2,48,0,0,2024,6
教育業,2208,313650,42,5603,15,1570,1,50,0,0,1,10,1,10,-2,4550,1,50,2234,322333,2024,6
醫療保健及社會服務業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,6
藝術、娛樂及休閒服務業,25646,3338003,168,16297,132,15825,6,2997,0,0,4,560,3,360,-1,-5000,1,889,25683,3337560,2024,6
其他服務業,71188,6716920,397,48895,241,27101,20,12445,2,910,6,880,7,930,6,16,-2,-183,71347,6750032,2024,6
總計,977400,197726415,5984,894642,4741,779113,341,369121,19,8854,250,76179,249,72316,0,0,6,-659,978650,198205415,2024,5
農、林、漁、牧業,11388,3670982,93,14623,50,7628,10,7084,0,0,2,290,2,290,30,8921,0,197,11461,3694178,2024,5
礦業及土石採取業,1931,1151668,9,1849,5,11490,1,50,0,0,1,200,1,200,-1,-240,0,0,1934,1141837,2024,5
製造業,55258,15052010,148,25062,145,28218,21,25816,0,0,8,1429,10,6679,-2,1848,0,-80,55257,15071188,2024,5
電力及燃氣供應業,927,508900,13,2349,0,0,2,6100,0,0,0,0,0,0,0,0,0,0,940,517349,2024,5
用水供應及污染整治業,3987,1773287,19,3288,15,3656,2,4000,0,0,2,200,2,200,-1,-8,1,200,3991,1777111,2024,5
營建工程業,96462,42844558,804,171671,348,133332,52,90527,3,3932,49,24540,49,22340,-3,-1585,12,1950,96927,42972057,2024,5
批發及零售業,514732,83680050,2463,358248,2404,341013,155,134196,9,3630,138,39859,136,33151,-22,-10052,-8,-3427,514763,83821081,2024,5
運輸及倉儲業,25924,5876217,18,2770,30,5583,2,1380,0,0,0,0,0,0,-1,0,-6,-180,25905,5874604,2024,5
住宿及餐飲業,103791,13735507,1268,154649,867,112924,33,22380,5,312,21,3995,21,3775,-3,393,0,77,104189,13799990,2024,5
出版影音及資通訊業,6780,1807302,41,7019,47,9877,3,6400,0,0,4,643,5,891,-3,-160,1,50,6771,1810486,2024,5
金融及保險業,3165,4716239,12,3419,23,4290,1,1800,1,900,0,0,0,0,-1,-200,6,180,3159,4716248,2024,5
不動產業,4441,1113617,41,8566,22,9840,1,12000,0,0,0,0,0,0,1,-50,0,0,4461,1124293,2024,5
專業、科學及技術服務業,20454,4431487,157,22756,99,21976,9,9330,0,0,9,1520,9,1520,2,-140,1,100,20515,4441557,2024,5
支援服務業,29277,7044901,217,31839,159,38276,18,35428,0,0,5,1610,6,1850,2,1070,-1,140,29335,7074862,2024,5
公共行政及國防；強制性社會安全,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,5
教育業,2164,307158,51,6692,10,1160,1,470,0,0,3,680,2,440,2,250,0,0,2208,313650,2024,5
醫療保健及社會服務業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,5
藝術、娛樂及休閒服務業,25703,3336742,194,24727,256,25867,4,1860,1,80,4,830,3,600,1,40,3,350,25646,3338003,2024,5
其他服務業,71016,6675790,436,55114,261,23984,26,10299,0,0,4,383,3,380,-1,-87,-3,-216,71188,6716920,2024,5
總計,976276,197225375,5449,829216,4332,661287,324,353112,21,24134,242,69850,243,67744,0,0,8,2026,977400,197726415,2024,4
農、林、漁、牧業,11319,3648091,93,15406,37,5439,7,16909,1,5000,3,3440,3,3500,12,1225,1,-150,11388,3670982,2024,4
礦業及土石採取業,1924,1148012,11,2018,4,3254,1,4640,0,0,1,240,1,168,0,0,0,180,1931,1151668,2024,4
製造業,55252,15054622,146,23850,140,44133,19,16442,0,0,9,4180,8,4080,3,1580,-4,-451,55258,15052010,2024,4
電力及燃氣供應業,921,500885,8,2465,3,1400,1,3000,0,0,0,0,0,0,0,3750,1,200,927,508900,2024,4
用水供應及污染整治業,3983,1770486,19,3184,12,1409,3,5514,0,0,0,0,0,0,-4,-4496,1,8,3987,1773287,2024,4
營建工程業,96009,42700700,751,167940,295,104008,56,84638,3,942,40,17063,40,17063,-7,-4222,4,452,96462,42844558,2024,4
批發及零售業,514564,83471994,2279,330836,2122,287035,154,167306,13,11752,136,35500,136,34175,6,5054,5,2322,514732,83680050,2024,4
運輸及倉儲業,25943,5871709,19,5118,30,2380,1,150,0,0,1,200,1,200,2,1920,-10,-300,25924,5876217,2024,4
住宿及餐飲業,103463,13670300,1140,143710,802,104818,34,27500,3,440,14,2570,15,2490,-9,-970,0,145,103791,13735507,2024,4
出版影音及資通訊業,6788,1808670,32,5170,38,7813,3,1785,0,0,5,640,5,640,-3,-2510,1,2000,6780,1807302,2024,4
金融及保險業,3165,4717980,6,860,16,2900,0,0,0,0,1,200,1,200,0,0,10,300,3165,4716239,2024,4
不動產業,4432,1113067,33,6308,23,5748,0,0,0,0,1,200,1,200,-1,-10,0,0,4441,1113617,2024,4
專業、科學及技術服務業,20406,4427919,128,20425,79,16055,8,6043,1,6000,11,1968,11,1398,-1,-1415,0,0,20454,4431487,2024,4
支援服務業,29223,7033777,185,28861,137,23697,11,7150,0,0,5,1800,5,1800,6,640,0,-1830,29277,7044901,2024,4
公共行政及國防；強制性社會安全,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,4
教育業,2136,304151,37,5087,13,1730,1,100,0,0,5,500,3,300,2,250,0,-900,2164,307158,2024,4
醫療保健及社會服務業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,4
藝術、娛樂及休閒服務業,25853,3336281,197,21721,341,25099,7,4254,0,0,3,450,4,550,-5,-315,0,0,25703,3336742,2024,4
其他服務業,70895,6646731,365,46258,240,24369,18,7682,0,0,7,900,9,980,-1,-481,-1,50,71016,6675790,2024,4
總計,975026,196592049,5909,935728,4665,740232,370,444596,30,14412,252,66203,252,65303,0,0,6,6746,976276,197225375,2024,3
農、林、漁、牧業,11296,3633329,70,12283,44,6859,9,15718,1,5800,4,440,5,650,-2,-370,0,0,11319,3648091,2024,3
礦業及土石採取業,1924,1145151,6,2760,7,3699,2,3600,0,0,0,0,0,0,1,200,0,0,1924,1148012,2024,3
製造業,55212,15023103,183,39060,138,37427,27,30011,0,0,9,7040,10,7240,-3,244,-1,-169,55252,15054622,2024,3
電力及燃氣供應業,902,492619,20,2966,1,200,2,5500,0,0,1,200,1,200,0,0,0,0,921,500885,2024,3
用水供應及污染整治業,3983,1753557,15,8328,15,2016,4,10617,1,3800,1,1000,1,1000,0,0,0,3800,3983,1770486,2024,3
營建工程業,95433,42430890,921,206782,352,110610,77,144577,7,2290,46,16640,46,16640,5,31269,2,83,96009,42700700,2024,3
批發及零售業,514104,83318894,2570,373653,2118,342576,155,149003,11,1927,130,28843,127,28565,2,-26759,3,1429,514564,83471994,2024,3
運輸及倉儲業,25963,5874948,35,7689,40,8331,1,1200,0,0,1,200,2,410,-1,-3197,-13,-390,25943,5871709,2024,3
住宿及餐飲業,103158,13596781,1023,132784,713,85054,39,26010,7,417,15,4540,16,3878,-5,-245,1,-220,103463,13670300,2024,3
出版影音及資通訊業,6771,1803920,52,7365,37,5770,3,2755,0,0,4,1090,2,690,-1,-10,1,10,6788,1808670,2024,3
金融及保險業,3154,4717988,15,3200,16,3398,0,0,0,0,1,200,1,200,-1,-200,13,390,3165,4717980,2024,3
不動產業,4420,1109368,29,4787,17,3848,0,0,0,0,1,200,1,200,0,0,0,2760,4432,1113067,2024,3
專業、科學及技術服務業,20355,4401617,150,24147,102,18175,13,19597,0,0,12,1550,11,1340,4,498,-2,25,20406,4427919,2024,3
支援服務業,29144,6983749,214,42298,137,22830,18,30073,0,0,6,1068,7,1078,3,297,0,200,29223,7033777,2024,3
公共行政及國防；強制性社會安全,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,3
教育業,2110,300071,46,4900,20,2770,2,1950,0,0,0,0,0,0,0,0,0,0,2136,304151,2024,3
醫療保健及社會服務業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,3
藝術、娛樂及休閒服務業,26379,3381904,150,15836,679,61257,0,0,0,0,11,2000,10,1800,-1,47,3,-449,25853,3336281,2024,3
其他服務業,70718,6624161,410,46892,229,25413,18,3986,3,178,10,1192,12,1412,-1,-1774,-1,-723,70895,6646731,2024,3
總計,974784,196283317,3437,534521,3199,486045,222,277868,15,14656,144,53474,143,53353,0,0,3,-3076,975026,196592049,2024,2
農、林、漁、牧業,11266,3632706,39,5080,16,10842,4,3010,0,0,0,0,0,0,7,3375,0,0,11296,3633329,2024,2
礦業及土石採取業,1922,1141403,4,748,3,50,2,3000,1,50,0,0,0,0,1,100,0,0,1924,1145151,2024,2
製造業,55199,15007762,98,17528,82,14792,10,14654,1,2250,5,1770,4,1370,0,120,-4,-319,55212,15023103,2024,2
電力及燃氣供應業,903,491979,2,400,3,500,0,0,0,0,0,0,1,500,1,1240,0,0,902,492619,2024,2
用水供應及污染整治業,3980,1751830,12,7090,11,5400,0,0,1,183,0,0,0,0,2,220,0,0,3983,1753557,2024,2
營建工程業,95138,42290975,498,117425,208,64813,56,92098,0,0,22,4670,22,4670,2,-225,3,-4570,95433,42430890,2024,2
批發及零售業,513884,83206082,1547,222465,1325,188982,89,89389,7,5978,78,16094,79,16833,-1,-2573,0,-770,514104,83318894,2024,2
運輸及倉儲業,25969,5845648,9,1720,11,6230,2,33900,0,0,2,20100,2,20100,0,0,-4,-90,25963,5874948,2024,2
住宿及餐飲業,103141,13585334,568,68874,547,66640,26,16296,3,6065,9,1150,9,1290,-5,-1159,1,280,103158,13596781,2024,2
出版、影音製作、傳播及資通訊服務業,6767,1805905,27,3968,24,9253,3,2700,0,0,3,1000,2,400,-1,-50,1,50,6771,1803920,2024,2
金融及保險業,3157,4718308,6,690,14,1220,0,0,0,0,1,200,1,200,0,0,5,210,3154,4717988,2024,2
不動產業,4412,1117850,22,2988,16,11740,1,10,0,0,0,0,0,0,1,30,1,230,4420,1109368,2024,2
專業、科學及技術服務業,20324,4390155,98,16434,67,10100,6,5497,0,0,8,1510,7,1010,-1,-1060,0,190,20355,4401617,2024,2
支援服務業,29132,6983895,130,22633,116,30071,6,7400,1,100,4,1500,5,1550,0,92,-1,-50,29144,6983749,2024,2
公共行政及國防；強制性社會安全,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-100,1,100,0,0,2024,2
教育業,2098,298169,26,3728,13,1786,0,0,0,0,1,200,1,200,-1,-40,0,0,2110,300071,2024,2
醫療保健及社會服務業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,2
藝術、娛樂及休閒服務業,26870,3412135,125,15078,610,51726,8,5367,0,0,4,790,4,790,-6,-710,0,1760,26379,3381904,2024,2
其他服務業,70622,6603180,226,27672,133,11900,9,4547,1,30,7,4490,6,4440,2,740,0,-97,70718,6624161,2024,2
總計,975067,195873907,5305,820311,5593,789008,352,374785,18,5737,208,56678,210,55335,0,0,7,7716,974784,196283317,2024,1
農、林、漁、牧業,11212,3619919,78,16898,31,19221,4,9300,0,0,0,0,0,0,7,5810,0,0,11266,3632706,2024,1
礦業及土石採取業,1923,1142473,5,1060,6,2130,0,0,0,0,0,0,0,0,0,0,0,0,1922,1141403,2024,1
製造業,55182,14981614,133,27736,120,30320,17,23125,1,3,3,495,3,495,7,5673,-3,-63,55199,15007762,2024,1
電力及燃氣供應業,892,488176,13,2403,2,400,1,1800,0,0,0,0,0,0,0,0,0,0,903,491979,2024,1
用水供應及污染整治業,3980,1744150,17,2810,18,5860,8,10720,0,0,1,100,1,100,1,10,0,0,3980,1751830,2024,1
營建工程業,94733,42141022,722,162538,331,117724,81,104545,0,0,41,14918,41,14118,8,-650,6,445,95138,42290975,2024,1
批發及零售業,513283,82996400,2358,342567,1747,274980,142,147775,11,5077,107,31086,109,31229,-10,-6707,2,6247,513884,83206082,2024,1
運輸及倉儲業,25959,5834918,28,10123,16,1863,1,2800,0,0,3,500,3,500,-1,-300,-1,-30,25969,5845648,2024,1
住宿及餐飲業,102961,13532349,881,120299,695,89026,39,24458,2,147,13,2135,14,2235,-9,-1359,4,-1140,103141,13585334,2024,1
出版、影音製作、傳播及資通訊服務業,6747,1800059,43,5338,24,3092,3,3400,0,0,5,570,4,330,0,-40,0,0,6767,1805905,2024,1
金融及保險業,3149,4716465,15,3779,7,1466,0,0,0,0,1,200,1,200,-1,-500,1,30,3157,4718308,2024,1
不動產業,4419,1124210,35,5870,41,14836,1,1800,1,253,1,200,1,200,-1,260,0,800,4412,1117850,2024,1
專業、科學及技術服務業,20277,4376853,137,20415,92,19527,13,16386,0,0,14,2669,13,2223,1,-4557,0,140,20324,4390155,2024,1
支援服務業,29052,6962748,183,26579,105,23383,12,12746,0,0,6,990,5,790,3,5007,-2,-3,29132,6983895,2024,1
公共行政及國防；強制性社會安全,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-3,1,3,0,0,2024,1
教育業,2057,291419,56,6626,14,1576,2,1800,0,0,2,250,2,250,-1,-100,0,0,2098,298169,2024,1
醫療保健及社會服務業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,1
藝術、娛樂及休閒服務業,28824,3547857,209,19250,2155,160222,5,5545,3,257,2,400,3,640,-8,-1198,1,1400,26870,3412135,2024,1
其他服務業,70417,6573276,392,46019,189,23382,23,8586,0,0,9,2165,10,2025,5,-1346,-2,-113,70622,6603180,2024,1
總計,973591,195320014,5318,814753,3844,713632,347,478858,30,27942,216,76434,215,75196,0,0,1,618,975067,195873907,2023,12
農、林、漁、牧業,11170,3617991,61,9338,33,11870,2,1070,0,0,2,700,2,700,14,3390,0,0,11212,3619919,2023,12
礦業及土石採取業,1925,1141093,6,1080,8,4500,1,4800,0,0,0,0,0,0,0,0,0,0,1923,1142473,2023,12
製造業,55230,14949908,140,26424,183,39242,24,48504,1,4500,11,1490,11,1910,-3,660,-2,280,55182,14981614,2023,12
電力及燃氣供應業,885,483323,10,2094,3,841,1,3600,0,0,0,0,0,0,0,0,0,0,892,488176,2023,12
用水供應及污染整治業,3982,1733675,16,3270,19,6797,7,15902,0,0,1,10,1,10,1,-1900,0,0,3980,1744150,2023,12
營建工程業,94456,41965819,620,149130,344,116543,68,141056,0,0,50,25135,50,24835,2,1460,-1,-200,94733,42141022,2023,12
批發及零售業,512833,82788668,2380,354785,1940,345916,169,211485,22,13084,104,34896,105,34676,3,-123,8,365,513283,82996400,2023,12
運輸及倉儲業,25969,5851529,16,2276,25,11807,0,0,1,7200,0,0,0,0,0,150,-1,-30,25959,5834918,2023,12
住宿及餐飲業,102730,13488762,893,109128,654,88330,37,21459,3,558,15,2138,16,1991,-8,1681,1,60,102961,13532349,2023,12
出版、影音製作、傳播及資通訊服務業,6747,1778261,38,5554,36,9438,4,4282,0,0,3,500,3,500,-2,21400,0,0,6747,1800059,2023,12
金融及保險業,3145,4715396,17,2800,13,1513,0,0,0,0,0,0,0,0,-1,-248,1,30,3149,4716465,2023,12
不動產業,4418,1119548,34,6300,32,6238,1,4800,0,0,0,0,0,0,-1,-200,0,0,4419,1124210,2023,12
專業、科學及技術服務業,20218,4362804,138,19274,82,12497,6,6153,0,0,9,1763,7,1010,3,480,-2,-114,20277,4376853,2023,12
支援服務業,28994,6958945,182,41015,122,21086,11,6264,0,0,9,7910,9,7910,-1,-22120,-1,-270,29052,6962748,2023,12
公共行政及國防；強制性社會安全,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,12
教育業,2041,288456,33,4205,19,2340,2,798,0,0,1,200,1,200,1,200,1,100,2057,291419,2023,12
醫療保健及社會服務業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,12
藝術、娛樂及休閒服務業,28599,3526174,385,34668,154,14956,3,4830,0,0,5,944,4,876,-5,-3460,-2,532,28824,3547857,2023,12
其他服務業,70249,6549663,349,43412,177,19719,11,3855,3,2600,6,748,6,578,-3,-1370,-1,-135,70417,6573276,2023,12
總計,970890,194705855,7022,971435,4325,786557,367,473279,21,40902,236,85062,239,91151,0,0,7,2994,973591,195320014,2023,11
農、林、漁、牧業,11098,3606211,98,13956,30,9783,5,8787,0,0,6,924,6,924,4,-1180,0,0,11170,3617991,2023,11
礦業及土石採取業,1926,1143353,6,1100,7,5360,1,2000,0,0,0,0,0,0,0,0,0,0,1925,1141093,2023,11
製造業,55256,14892846,131,22980,163,43493,32,78487,1,1800,15,8870,14,12268,4,1820,1,2466,55230,14949908,2023,11
電力及燃氣供應業,871,477212,15,2260,2,400,2,4051,0,0,0,0,0,0,1,200,0,0,885,483323,2023,11
用水供應及污染整治業,3977,1716310,27,11409,27,4106,8,17642,2,8220,0,0,0,0,-2,-250,7,890,3982,1733675,2023,11
營建工程業,94104,41808464,699,160345,388,119361,81,115906,3,7530,44,15107,45,14437,-4,-385,46,7709,94456,41965819,2023,11
批發及零售業,512614,82640322,2496,372604,2237,397664,156,192692,7,5955,122,32333,124,41902,-8,2962,-30,-6723,512833,82788668,2023,11
運輸及倉儲業,26027,5858640,23,5949,77,4014,1,800,0,0,0,0,1,10000,1,274,-4,-120,25969,5851529,2023,11
住宿及餐飲業,102477,13436113,1031,132389,754,107631,35,15785,2,263,18,23188,18,6810,-7,-1112,-17,-2898,102730,13488762,2023,11
出版、影音製作、傳播及資通訊服務業,6724,1778616,51,7024,31,8729,6,2045,0,0,4,690,4,690,1,-845,2,150,6747,1778261,2023,11
金融及保險業,3133,4713787,18,3514,13,1815,1,800,0,0,0,0,0,0,1,200,6,-1090,3145,4715396,2023,11
不動產業,4398,1121812,38,6441,20,2035,1,30,1,7000,1,200,1,200,2,300,0,0,4418,1119548,2023,11
專業、科學及技術服務業,20173,4347006,135,18445,88,14487,10,9220,1,30,8,910,9,1110,0,140,-1,2710,20218,4362804,2023,11
支援服務業,28932,6948856,206,31049,139,24764,14,14466,1,9754,2,300,2,300,0,-227,-5,-680,28994,6958945,2023,11
公共行政及國防；強制性社會安全,0,0,0,0,9,890,0,0,0,0,0,0,0,0,0,0,9,890,0,0,2023,11
教育業,2011,285198,36,3808,9,860,0,0,0,0,1,240,1,240,2,110,1,200,2041,288456,2023,11
醫療保健及社會服務業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,11
藝術、娛樂及休閒服務業,27164,3407258,1564,125682,123,15893,6,9790,0,0,5,1000,5,1000,-4,-363,-2,-300,28599,3526174,2023,11
其他服務業,70005,6523851,448,52481,208,25273,8,778,3,350,10,1300,9,1270,9,-1644,-6,-210,70249,6549663,2023,11
總計,966719,193913859,7444,988329,3284,625793,357,451834,26,24144,219,86813,220,85648,0,0,12,605,970890,194705855,2023,10
農、林、漁、牧業,11070,3596811,62,9490,34,12540,5,11530,0,0,2,150,2,150,0,920,0,0,11098,3606211,2023,10
礦業及土石採取業,1926,1152503,5,1650,5,10800,0,0,0,0,1,240,1,240,0,0,0,0,1926,1143353,2023,10
製造業,55241,14856550,122,30704,94,23842,22,45657,1,3000,6,753,7,953,-10,-12563,-2,-460,55256,14892846,2023,10
電力及燃氣供應業,860,470360,9,1370,2,368,3,5100,0,0,1,100,1,100,4,750,0,0,871,477212,2023,10
用水供應及污染整治業,3979,1694579,17,5730,16,2121,4,18500,0,0,1,200,2,400,-1,-168,-1,-10,3977,1716310,2023,10
營建工程業,93759,41658310,617,142128,277,94796,70,103001,3,2230,36,23158,36,21428,2,-163,3,483,94104,41808464,2023,10
批發及零售業,512040,82447694,2198,324538,1635,300415,161,177177,11,12274,120,52674,119,52409,3,4996,7,-1659,512614,82640322,2023,10
運輸及倉儲業,26022,5854612,16,2665,13,1055,3,1758,1,60,0,0,0,0,2,550,0,170,26027,5858640,2023,10
住宿及餐飲業,102133,13363832,1004,132726,658,91087,31,30928,4,495,19,2658,18,2278,-5,-1976,2,1805,102477,13436113,2023,10
出版、影音製作、傳播及資通訊服務業,6717,1784274,40,6423,31,12481,1,950,0,0,3,450,3,450,0,0,-2,-550,6724,1778616,2023,10
金融及保險業,3131,4712894,11,2431,9,1330,0,0,0,0,1,240,1,240,-1,-238,1,30,3133,4713787,2023,10
不動產業,4384,1118771,29,5507,17,2716,0,0,0,0,0,0,0,0,1,100,1,150,4398,1121812,2023,10
專業、科學及技術服務業,20142,4330941,103,16794,74,15611,9,8317,1,15,10,1350,10,1350,0,6180,2,400,20173,4347006,2023,10
支援服務業,28854,6915951,184,26880,107,16564,19,22832,1,1500,5,2740,6,2750,2,1090,0,177,28932,6948856,2023,10
公共行政及國防；強制性社會安全,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-306,2,306,0,0,2023,10
教育業,1991,281637,36,4232,16,1878,3,1207,0,0,1,240,1,240,0,0,0,0,2011,285198,2023,10
醫療保健及社會服務業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,10
藝術、娛樂及休閒服務業,24621,3172942,2644,233809,103,11596,6,13265,2,70,2,150,3,1150,2,-115,1,23,27164,3407258,2023,10
其他服務業,69849,6501199,347,41251,193,26594,20,11612,2,4500,11,1710,10,1510,3,943,-2,-260,70005,6523851,2023,10
總計,963197,193186601,6754,901954,3235,615692,383,441826,22,12777,211,86311,211,75727,0,0,3,1363,966719,193913859,2023,9
農、林、漁、牧業,11033,3591796,63,13054,26,13774,6,6390,0,0,6,5530,6,5530,-1,-875,1,220,11070,3596811,2023,9
礦業及土石採取業,1923,1138051,6,1240,4,548,4,13660,0,0,2,1248,2,1248,1,100,0,0,1926,1152503,2023,9
製造業,55226,14806959,146,32790,125,25835,23,45455,4,7777,8,13690,7,5690,-4,-2824,-3,-218,55241,14856550,2023,9
電力及燃氣供應業,853,469242,6,1058,2,440,0,0,0,0,0,0,0,0,3,500,0,0,860,470360,2023,9
用水供應及污染整治業,3975,1669709,14,2380,10,2810,14,25300,0,0,0,0,0,0,-1,-200,1,200,3979,1694579,2023,9
營建工程業,93373,41472754,623,148092,240,81036,81,114682,0,0,31,19803,32,19663,1,2628,3,1049,93759,41658310,2023,9
批發及零售業,511600,82254161,2099,315531,1649,307191,169,174104,9,4360,115,36341,116,34557,-9,13211,0,454,512040,82447694,2023,9
運輸及倉儲業,26035,5861841,25,4015,30,3771,4,7757,0,0,1,500,1,500,-1,-15000,-7,-230,26022,5854612,2023,9
住宿及餐飲業,101862,13330762,915,110612,649,95447,27,18393,2,120,12,3079,11,2929,3,-205,1,-312,102133,13363832,2023,9
出版、影音製作、傳播及資通訊服務業,6692,1781407,49,6333,26,6779,5,2898,0,0,5,1020,4,720,1,115,0,0,6717,1784274,2023,9
金融及保險業,3120,4711689,14,2333,9,1508,0,0,0,0,0,0,1,30,0,30,7,380,3131,4712894,2023,9
不動產業,4385,1119636,23,4036,24,5402,1,500,0,0,1,30,1,30,0,0,0,0,4384,1118771,2023,9
