station_id,station_name,poi_name,retail_category,amenity,shop,tourism,office,leisure
gongguan,Gongguan,炎帝鐵板燒,food,restaurant,,,,
gongguan,Gongguan,香鄉麵食館,food,restaurant,,,,
gongguan,Gongguan,古洛奇名床,other,,bed,,,
gongguan,Gongguan,塊雞師事務所,food,restaurant,,,,
gongguan,Gongguan,,other,,vacant,,,
gongguan,Gongguan,MACANNA,apparel/fashion,,shoes,,,
gongguan,Gongguan,哈拉星球歡樂聯盟,other,,video_games,,,
gongguan,Gongguan,飛捷數位印刷,services,,copyshop,,,
gongguan,Gongguan,奇美眼睛,health,,optician,,,
gongguan,Gongguan,茂林動物福利蛋,other,,greengrocer,,,
gongguan,Gongguan,登出禮儀會館,other,,funeral_directors,,,
gongguan,Gongguan,想聚,food,restaurant,,,,
gongguan,Gongguan,哈啦星球,other,,video_games,,,
gongguan,Gongguan,89 Loop,food,bar,,,,
gongguan,Gongguan,啦啦麵,food,restaurant,,,,
gongguan,Gongguan,Vortex,apparel/fashion,,clothes,,,
gongguan,Gongguan,米澤製麵,food,restaurant,,,,
gongguan,Gongguan,金隆興銀樓,apparel/fashion,,jewelry,,,
gongguan,Gongguan,520 SPA美容越式洗頭,other,,beauty,,,
gongguan,Gongguan,頂呱呱,food,fast_food,,,,
gongguan,Gongguan,,other,,vacant,,,
gongguan,Gongguan,,other,,lottery,,,
gongguan,Gongguan,尚智運動世界,other,,sports,,,
gongguan,Gongguan,快乐柠檬,cafe,cafe,,,,
gongguan,Gongguan,Adidas,other,,sports,,,
gongguan,Gongguan,Popeyes,food,fast_food,,,,
gongguan,Gongguan,豪香熱炒,food,restaurant,,,,
gongguan,Gongguan,大學口胡椒餅,food,restaurant,,,,
gongguan,Gongguan,埃及沙威瑪王,food,restaurant,,,,
gongguan,Gongguan,北投紅茶,cafe,cafe,,,,
gongguan,Gongguan,阿鸞手工法國麵包,food,restaurant,,,,
gongguan,Gongguan,南天書局,lifestyle/design,,books,,,
gongguan,Gongguan,集客人間茶館,food,restaurant,,,,
gongguan,Gongguan,Dari's Italian Kitchen,food,restaurant,,,,
gongguan,Gongguan,上賀麵食館,food,restaurant,,,,
gongguan,Gongguan,萬里複印店,services,,copyshop,,,
gongguan,Gongguan,七里亭,food,restaurant,,,,
gongguan,Gongguan,龐德羅沙,food,restaurant,,,,
gongguan,Gongguan,Gugu Kitchen,food,restaurant,,,,
gongguan,Gongguan,魯山人和風壽喜鍋物,food,restaurant,,,,
gongguan,Gongguan,Lacuz,food,restaurant,,,,
gongguan,Gongguan,奧創髮藝,services,,hairdresser,,,
gongguan,Gongguan,結構群,lifestyle/design,,books,,,
gongguan,Gongguan,,other,,fashion_accessories,,,
gongguan,Gongguan,以琳書房,lifestyle/design,,books,,,
gongguan,Gongguan,直火人,food,restaurant,,,,
gongguan,Gongguan,LV,services,,hairdresser,,,
gongguan,Gongguan,Nike,apparel/fashion,,clothes,,,
gongguan,Gongguan,全家便利商店,convenience,,convenience,,,
gongguan,Gongguan,龜記,cafe,cafe,,,,
gongguan,Gongguan,國際髮型,services,,hairdresser,,,
gongguan,Gongguan,夢幻運動廣場,other,,sports,,,
gongguan,Gongguan,夢駝鈴,food,restaurant,,,,
gongguan,Gongguan,尚智,other,,sports,,,
gongguan,Gongguan,摩馬克4店,apparel/fashion,,shoes,,,
gongguan,Gongguan,衝刺戶外休閒,other,,outdoor,,,
gongguan,Gongguan,長弓華納鞋城,apparel/fashion,,shoes,,,
gongguan,Gongguan,特別髮型沙龍,services,,hairdresser,,,
gongguan,Gongguan,爭鮮迴轉壽司,food,restaurant,,,,
gongguan,Gongguan,髮秀仕,services,,hairdresser,,,
gongguan,Gongguan,World Gym健身俱樂部,services,,,,,fitness_centre
gongguan,Gongguan,J Plus髮型,services,,hairdresser,,,
gongguan,Gongguan,東京痴貨,cafe,cafe,,,,
gongguan,Gongguan,壽司郎,food,restaurant,,,,
gongguan,Gongguan,My Beaty時尚藝術指甲,other,,beauty,,,
gongguan,Gongguan,Sports,apparel/fashion,,clothes,,,
gongguan,Gongguan,蓉城麻辣火鍋,food,restaurant,,,,
gongguan,Gongguan,我家涼麵,food,restaurant,,,,
gongguan,Gongguan,兄弟蚵仔麵線,food,restaurant,,,,
gongguan,Gongguan,先達通訊,other,,mobile_phone,,,
gongguan,Gongguan,全世通3C,other,,mobile_phone,,,
gongguan,Gongguan,台灣彩券,other,,lottery,,,
gongguan,Gongguan,嘉義雞肉飯,food,restaurant,,,,
gongguan,Gongguan,福二,food,restaurant,,,,
gongguan,Gongguan,手機包膜,other,,mobile_phone,,,
gongguan,Gongguan,拉非爾珠寶銀樓,apparel/fashion,,jewelry,,,
gongguan,Gongguan,喫ㄤ平價鐵板燒,food,restaurant,,,,
gongguan,Gongguan,曼德樂泰式料理,food,restaurant,,,,
gongguan,Gongguan,丼丼GO,food,restaurant,,,,
gongguan,Gongguan,泰國小館,food,restaurant,,,,
gongguan,Gongguan,台灣彩券,other,,lottery,,,
gongguan,Gongguan,佳興魚丸,food,restaurant,,,,
gongguan,Gongguan,精展眼鏡公司,health,,optician,,,
gongguan,Gongguan,雪球咖啡,cafe,cafe,,,,
gongguan,Gongguan,7-Eleven,convenience,,convenience,,,
gongguan,Gongguan,花旗（台灣）商業銀行,services,atm,,,,
gongguan,Gongguan,野聚戶外,other,,outdoor,,,
gongguan,Gongguan,香草集,health,,chemist,,,
