station_id,station_name,catchment_method,poi_name,retail_category,amenity,shop,tourism,office,leisure
gongguan,Gongguan,circular_center_500m,台灣複印,services,,copyshop,,,
gongguan,Gongguan,circular_center_500m,東雛菊風味鍋物,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,豪季水餃專賣店,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,貳樓餐廳,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,Thai Yo,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,酒釀湯圓,cafe,cafe,,,,
gongguan,Gongguan,circular_center_500m,茉莉二手書店,lifestyle/design,,books,,,
gongguan,Gongguan,circular_center_500m,玩逗樹,cafe,cafe,,,,
gongguan,Gongguan,circular_center_500m,魯米爺咖啡館,cafe,cafe,,,,
gongguan,Gongguan,circular_center_500m,Maryjane Pizza,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,Luca Vergani,apparel/fashion,,clothes,,,
gongguan,Gongguan,circular_center_500m,Helis,health,,optician,,,
gongguan,Gongguan,circular_center_500m,冠軍物聯網選物販賣,other,,video_games,,,
gongguan,Gongguan,circular_center_500m,王一莊商行,other,,variety_store,,,
gongguan,Gongguan,circular_center_500m,法點法食,cafe,cafe,,,,
gongguan,Gongguan,circular_center_500m,吻銀精品,apparel/fashion,,jewelry,,,
gongguan,Gongguan,circular_center_500m,韓風拍貼,other,,photo,,,
gongguan,Gongguan,circular_center_500m,天仁茗茶,cafe,cafe,,,,
gongguan,Gongguan,circular_center_500m,老二攝影,other,,photograph,,,
gongguan,Gongguan,circular_center_500m,365日X生活選物雜貨店,other,,variety_store,,,
gongguan,Gongguan,circular_center_500m,烤必勝烤肉屋,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,大學入學考試中心,services,,,,ngo,
gongguan,Gongguan,circular_center_500m,弘野登山戶外休閒用品,other,,sports,,,
gongguan,Gongguan,circular_center_500m,戰醬燒肉,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,北投紅茶,cafe,cafe,,,,
gongguan,Gongguan,circular_center_500m,麻古茶枋,cafe,cafe,,,,
gongguan,Gongguan,circular_center_500m,,other,,vacant,,,
gongguan,Gongguan,circular_center_500m,母女的店,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,路燈咖啡公館店,cafe,cafe,,,,
gongguan,Gongguan,circular_center_500m,貓沙工廠,other,,pet,,,
gongguan,Gongguan,circular_center_500m,泰正點泰式餐坊,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,酷必五星級牛排飯,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,寶島眼鏡,health,,optician,,,
gongguan,Gongguan,circular_center_500m,摩瑪克3店,other,,sports,,,
gongguan,Gongguan,circular_center_500m,Just Curry,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,寶雅,health,,chemist,,,
gongguan,Gongguan,circular_center_500m,炎帝鐵板燒,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,香鄉麵食館,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,古洛奇名床,other,,bed,,,
gongguan,Gongguan,circular_center_500m,塊雞師事務所,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,,other,,vacant,,,
gongguan,Gongguan,circular_center_500m,MACANNA,apparel/fashion,,shoes,,,
gongguan,Gongguan,circular_center_500m,哈拉星球歡樂聯盟,other,,video_games,,,
gongguan,Gongguan,circular_center_500m,飛捷數位印刷,services,,copyshop,,,
gongguan,Gongguan,circular_center_500m,奇美眼睛,health,,optician,,,
gongguan,Gongguan,circular_center_500m,茂林動物福利蛋,other,,greengrocer,,,
gongguan,Gongguan,circular_center_500m,登出禮儀會館,other,,funeral_directors,,,
gongguan,Gongguan,circular_center_500m,想聚,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,哈啦星球,other,,video_games,,,
gongguan,Gongguan,circular_center_500m,89 Loop,food,bar,,,,
gongguan,Gongguan,circular_center_500m,啦啦麵,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,Vortex,apparel/fashion,,clothes,,,
gongguan,Gongguan,circular_center_500m,米澤製麵,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,金隆興銀樓,apparel/fashion,,jewelry,,,
gongguan,Gongguan,circular_center_500m,520 SPA美容越式洗頭,other,,beauty,,,
gongguan,Gongguan,circular_center_500m,頂呱呱,food,fast_food,,,,
gongguan,Gongguan,circular_center_500m,,other,,vacant,,,
gongguan,Gongguan,circular_center_500m,,other,,lottery,,,
gongguan,Gongguan,circular_center_500m,尚智運動世界,other,,sports,,,
gongguan,Gongguan,circular_center_500m,快乐柠檬,cafe,cafe,,,,
gongguan,Gongguan,circular_center_500m,Adidas,other,,sports,,,
gongguan,Gongguan,circular_center_500m,Popeyes,food,fast_food,,,,
gongguan,Gongguan,circular_center_500m,豪香熱炒,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,大學口胡椒餅,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,埃及沙威瑪王,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,北投紅茶,cafe,cafe,,,,
gongguan,Gongguan,circular_center_500m,阿鸞手工法國麵包,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,南天書局,lifestyle/design,,books,,,
gongguan,Gongguan,circular_center_500m,集客人間茶館,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,Dari's Italian Kitchen,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,上賀麵食館,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,萬里複印店,services,,copyshop,,,
gongguan,Gongguan,circular_center_500m,七里亭,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,龐德羅沙,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,Gugu Kitchen,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,魯山人和風壽喜鍋物,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,Lacuz,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,奧創髮藝,services,,hairdresser,,,
gongguan,Gongguan,circular_center_500m,結構群,lifestyle/design,,books,,,
gongguan,Gongguan,circular_center_500m,,other,,fashion_accessories,,,
gongguan,Gongguan,circular_center_500m,以琳書房,lifestyle/design,,books,,,
gongguan,Gongguan,circular_center_500m,直火人,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,LV,services,,hairdresser,,,
gongguan,Gongguan,circular_center_500m,Nike,apparel/fashion,,clothes,,,
gongguan,Gongguan,circular_center_500m,全家便利商店,convenience,,convenience,,,
gongguan,Gongguan,circular_center_500m,龜記,cafe,cafe,,,,
gongguan,Gongguan,circular_center_500m,國際髮型,services,,hairdresser,,,
gongguan,Gongguan,circular_center_500m,夢幻運動廣場,other,,sports,,,
gongguan,Gongguan,circular_center_500m,夢駝鈴,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,尚智,other,,sports,,,
gongguan,Gongguan,circular_center_500m,摩馬克4店,apparel/fashion,,shoes,,,
gongguan,Gongguan,circular_center_500m,衝刺戶外休閒,other,,outdoor,,,
gongguan,Gongguan,circular_center_500m,長弓華納鞋城,apparel/fashion,,shoes,,,
gongguan,Gongguan,circular_center_500m,特別髮型沙龍,services,,hairdresser,,,
gongguan,Gongguan,circular_center_500m,爭鮮迴轉壽司,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,髮秀仕,services,,hairdresser,,,
gongguan,Gongguan,circular_center_500m,World Gym健身俱樂部,services,,,,,fitness_centre
gongguan,Gongguan,circular_center_500m,J Plus髮型,services,,hairdresser,,,
gongguan,Gongguan,circular_center_500m,東京痴貨,cafe,cafe,,,,
gongguan,Gongguan,circular_center_500m,壽司郎,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,My Beaty時尚藝術指甲,other,,beauty,,,
gongguan,Gongguan,circular_center_500m,Sports,apparel/fashion,,clothes,,,
gongguan,Gongguan,circular_center_500m,蓉城麻辣火鍋,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,我家涼麵,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,兄弟蚵仔麵線,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,先達通訊,other,,mobile_phone,,,
gongguan,Gongguan,circular_center_500m,全世通3C,other,,mobile_phone,,,
gongguan,Gongguan,circular_center_500m,台灣彩券,other,,lottery,,,
gongguan,Gongguan,circular_center_500m,嘉義雞肉飯,food,restaurant,,,,
